Site ID Recoded,Treatment,Tree ID,Tree Type Recoded,Tree Section,Sample Section (m>ground),DBH (cm),Diameter at base 0 m (cm),Diameter at 1 m above ground (cm),Diameter at 2 m above ground (cm),Parasitoid Species Recoded,EAB Count (L3-Adult),Sampling Date
NYDB,RLS,3,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,3,,,,,TET,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,3,Pole Size,Br1,8,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,1,8.2,,,,NONE,7,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,2,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,4,,,,,Phas,,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
NYDB,RLS,4,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,1,Large-2m,Bole,1,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,1,Large-2m,Bole,2,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,1,Pole Size,Bole,1,6.4,9.3,6.9,5.8,NONE,12,10/21-10/24/2020
NYRH,RLS,1,Pole Size,Bole,1,6.4,9.3,6.9,5.8,SPAT,5,10/21-10/24/2020
NYRH,RLS,1,Pole Size,Bole,2,6.4,9.3,6.9,5.8,NONE,4,10/21-10/24/2020
NYRH,RLS,1,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,1,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,1,Sapling,Bole,1,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,1,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,1,Sapling,Bole,2,4.4,6.8,5.2,4.8,TET,2,10/21-10/24/2020
NYRH,RLS,1,Sapling,Bole,3,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Large-2m,Bole,1,21.8,25.4,21.9,19,NONE,11,10/21-10/24/2020
NYRH,RLS,2,Large-2m,Bole,1,21.8,25.4,21.9,19,SPAT,3,10/21-10/24/2020
NYRH,RLS,2,Large-2m,Bole,2,21.8,25.4,21.9,19,NONE,11,10/21-10/24/2020
NYRH,RLS,2,Large-2m,Bole,2,21.8,25.4,21.9,19,SPAT,6,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,1,14,18.5,16.5,12.5,Atan,1,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,1,14,18.5,16.5,12.5,NONE,8,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,1,14,18.5,16.5,12.5,SPAT,18,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,1,14,18.5,16.5,12.5,TET,1,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,2,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,2,14,18.5,16.5,12.5,Phas,1,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,2,14,18.5,16.5,12.5,SPAT,9,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,3,,,,,Atan,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,3,,,,,Phas,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,4,,,,,Phas,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,6,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,7,,,,,Phas,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,7,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,7,,,,,TET,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,8,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,9,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,9,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,10,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,10,,,,,Phas,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,11,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Pole Size,Bole,11,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,2,Sapling,Bole,1,5,7.2,5.4,4.4,NONE,3,10/21-10/24/2020
NYRH,RLS,2,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Sapling,Bole,3,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,2,Sapling,Bole,4,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,3,Large-2m,Bole,1,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,3,Large-2m,Bole,2,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,1,8.6,11.5,9.4,7.6,NONE,7,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,2,8.6,11.5,9.4,7.6,NONE,9,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,2,8.6,11.5,9.4,7.6,SPAT,2,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,4,,,,,Atan,,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,3,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,3,Sapling,Bole,1,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,3,Sapling,Bole,2,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,1,16,13,10.4,12,NONE,2,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,1,16,13,10.4,12,SPAT,2,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,2,16,13,10.4,12,NONE,1,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,2,16,13,10.4,12,SPAT,2,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,3,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,3,,,,,Phas,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,3,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,4,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,4,,,,,Phas,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,4,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,4,,,,,TET,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,5,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,5,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,6,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,6,,,,,Phas,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,6,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,7,,,,,BI,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,7,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,7,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,8,,,,,NONE,,10/21-10/24/2020
NYRH,RLS,4,Pole Size,Bole,8,,,,,SPAT,,10/21-10/24/2020
NYRH,RLS,4,Sapling,Bole,1,3.7,5.2,4.1,2.9,NONE,2,10/21-10/24/2020
NYRH,RLS,4,Sapling,Bole,1,3.7,5.2,4.1,2.9,TET,1,10/21-10/24/2020
